Compound_ID,SMILES,IC50_µM,pIC50
FI-3,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(NN)=O)C(Br)=C3,13.26,4.877456476
FI-3-1,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=CC(OC)=C4O)=O)C(Br)=C3,17.17,4.765229705
FI-3-2,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC(OC)=C(OC)C(OC)=C4)=O)C(Br)=C3,29.62,4.528414946
FI-3-4,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(Cl)C=C4Cl)=O)C(Br)=C3,81.56,4.088522783
FI-3-5,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(O)C=C4O)=O)C(Br)=C3,38.49,4.414652089
FI-3-6,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(OC)C=C4OC)=O)C(Br)=C3,18.8,4.725842151
FI-3-7,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(OC)C(O)=C4)=O)C(Br)=C3,16.63,4.779107751
FI-3-8,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=CC([N+]([O-])=O)=C4)=O)C(Br)=C3,12.02,4.920095532
FI-3-9,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC(Br)=C(O)C(Br)=C4)=O)C(Br)=C3,23.37,4.631341288
FI-3-10,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=CC(O)=C4)=O)C(Br)=C3,26.19,4.581864502
FI-3-11,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=C(O)C=CC5=C4C=CC=C5)=O)C(Br)=C3,17.44,4.758453519
FI-3-12,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(O)C=C4)=O)C(Br)=C3,16.39,4.785421046
FI-3-13,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(Br)C=C4F)=O)C(Br)=C3,51.32,4.289713352
FI-3-14,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(OC)C(OC)=C4)=O)C(Br)=C3,52.45,4.280254507
FI-3-15,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(C([H])=O)C=C4)=O)C(Br)=C3,31.85,4.496890563
FI-3-16,O=C(CC(C)(C)C1)C2=C1NC(C)=C(C(OCC)=O)C2C3=CC(Br)=C(OCC(N/N=C\C4=CC=C(N(C)C)C=C4)=O)C(Br)=C3,76.07,4.118786584
AF-K-II,FC(C=C(C(C)C(N/N=C(C)/C1=C(O)C=C(O)C=C1)=O)C=C2)=C2C3=CC=CC=C3,18.8,4.725842151
AF-K-III,FC(C=C(C(C)C(N/N=C(C)/C1=CC=C([N+]([O-])=O)C=C1)=O)C=C2)=C2C3=CC=CC=C3,16.63,4.779107751
AF-K-IV,FC(C=C(C(C)C(N/N=C1CCCC2=C/1C=CC(OC)=C2)=O)C=C3)=C3C4=CC=CC=C4,12.02,4.920095532
AF-K-V,FC(C=C(C(C)C(N/N=C(\C=C\C1=CC=CC=C1)C2=CC=CC=C2)=O)C=C3)=C3C4=CC=CC=C4,23.37,4.631341288
AF-K-VII,FC(C=C(C(C)C(N/N=C(C)/C1=CC=CC=C1)=O)C=C2)=C2C3=CC=CC=C3,26.19,4.581864502
AF-K-VIII,FC(C=C(C(C)C(N/N=C(CC)/C1=CC=CC=C1)=O)C=C2)=C2C3=CC=CC=C3,13.26,4.877456476
AF-K-IX,FC(C=C(C(C)C(N/N=C(C(C)C)/C1=CC=CC=C1)=O)C=C2)=C2C3=CC=CC=C3,17.17,4.765229705
AF-K-X,FC(C=C(C(C)C(N/N=C(CCCC)/C1=CC=CC=C1)=O)C=C2)=C2C3=CC=CC=C3,29.62,4.528414946
AF-K-XI,FC(C=C(C(C)C(N/N=C(C)/C1CC1)=O)C=C2)=C2C3=CC=CC=C3,81.56,4.088522783
AF-K-XII,FC(C=C(C(C)C(N/N=C(CCC)/C1=CC=CC=C1)=O)C=C2)=C2C3=CC=CC=C3,38.49,4.414652089
